stock_code,report_date,roe,net_profit,gross_margin,debt_ratio,net_margin,operating_cashflow,total_equity
600377.SH,2025-09-30,9.729,4037290138.34,38.8636,43.6497,31.1006,5433034129.06,52322658270.76
600406.SH,2022-03-31,0.9912,391617511.23,23.4031,41.3072,6.8051,-1385072391.32,41056482644.18
600406.SH,2022-06-30,5.5517,2253667263.34,27.3669,40.4869,13.8071,574356490.49,40714656087.89
600406.SH,2022-09-30,9.4204,3892899408.88,28.2713,39.3836,15.197,1992822605.89,42232989644.25
600406.SH,2022-12-31,16.0227,6904736373.07,27.0437,40.8636,14.7446,8759962599.71,45358360057.24
600406.SH,2023-03-31,1.2286,522611424.8,27.1086,37.7904,8.4346,-2037626151.88,46017263693.41
600406.SH,2023-06-30,5.8812,2645382409.47,28.5669,37.5514,14.4698,-5164240.38,45550670600.94
600406.SH,2023-09-30,9.5978,4392835503.29,29.2607,38.2118,15.3578,1994196488.61,47203465002.98
600406.SH,2023-12-31,16.0059,7627666538.62,26.7972,41.4681,14.7665,11278310677.65,50466478832.28
600406.SH,2024-03-31,1.2564,604742596.48,24.6807,38.7551,7.8022,-891916058.53,50922919738.25
600406.SH,2024-06-30,5.85,2875919271.96,29.0293,39.9514,14.181,-165301996.14,48597705301.96
600406.SH,2024-09-30,9.5922,4746223117.18,29.2556,41.2221,14.5735,1804281450.56,49302809666.34
600406.SH,2024-12-31,15.7862,8146603659.58,26.658,43.2298,14.1884,11085892935.16,52837334047.71
600406.SH,2025-03-31,1.3691,694264643.87,24.2007,40.3209,7.805,-286623305.0,53653433846.66
600406.SH,2025-06-30,6.0233,3123857222.0,26.4503,41.8869,12.8855,2808524757.71,52151307309.7
600406.SH,2025-09-30,9.8583,5145886084.85,26.4706,43.1818,13.3394,4714110770.9,52737472173.93
600415.SH,2022-03-31,4.5078,670276635.13,34.5846,51.4726,41.9456,-658351559.97,15233227849.69
600415.SH,2022-06-30,8.1502,1222526064.33,24.9043,49.0133,29.0591,-666587333.62,15401336028.4
600415.SH,2022-09-30,10.6661,1619135877.56,24.8827,49.6868,25.6174,-337282547.75,15782552895.31
600415.SH,2022-12-31,7.3961,1103601132.21,15.3127,52.4117,14.4835,1400090713.77,15281096382.65
600415.SH,2023-03-31,7.6863,1220812093.87,31.0315,48.4746,57.5764,-310531782.92,16547402347.6
600415.SH,2023-06-30,12.3805,2000654473.87,30.5848,49.0351,38.7649,143247195.78,17032189462.65
600415.SH,2023-09-30,14.2218,2319777142.29,27.102,48.9935,29.3434,372464318.73,17330222241.05
600415.SH,2023-12-31,16.2436,2681402614.79,26.4958,51.1197,23.7299,1845059849.92,17703937521.27
600415.SH,2024-03-31,3.9473,710890971.77,39.0535,48.9252,26.5198,180101089.85,18451735984.33
600415.SH,2024-06-30,8.0967,1450418177.89,33.078,49.7612,21.4371,114363500.83,18096864514.94
600415.SH,2024-09-30,12.4388,2331992676.03,31.997,44.7766,21.9729,452652886.15,19824190727.3
600415.SH,2024-12-31,16.0959,3078248085.69,31.387,47.477,19.5601,4491339090.33,20572459883.58
600415.SH,2025-03-31,3.842,803707110.93,36.1796,43.3751,25.4244,-278141780.1,21383293436.26
600415.SH,2025-06-30,8.2693,1697064179.57,31.5503,46.6769,22.0032,1382854487.47,20467580492.1
600415.SH,2025-09-30,16.1979,3464643934.19,37.2253,50.8577,26.5264,9605196694.05,22260702039.2
600426.SH,2022-03-31,10.3462,2428652914.91,39.039,20.3157,29.9263,2301979145.11,25148974687.25
600426.SH,2022-06-30,19.0473,4508406037.71,35.6492,19.3697,27.2679,4445565939.29,25545207022.5
600426.SH,2022-09-30,22.871,5532831697.22,32.1725,20.2248,24.0466,5955626908.08,26738045228.71
600426.SH,2022-12-31,25.5775,6287522851.21,28.9445,20.2385,20.7884,6999469230.44,27920861080.99
600426.SH,2023-03-31,2.8596,780068834.93,20.1823,22.4765,12.8866,800406615.53,28940861070.13
600426.SH,2023-06-30,6.3419,1707680259.37,20.8606,27.5295,13.8174,2377385527.68,28186590001.47
600426.SH,2023-09-30,10.6147,2925004770.41,22.1121,28.3732,15.1194,3528375725.7,29426770804.95
600426.SH,2023-12-31,12.8136,3622425138.5,20.8522,30.9044,13.2885,4715319211.3,30437608327.93
600426.SH,2024-03-31,3.62,1136659292.6,21.8887,29.7038,14.2473,1130744553.55,31587108986.72
600426.SH,2024-06-30,7.5631,2387017347.04,21.2004,29.4929,14.0617,2908410986.77,31636853976.99
600426.SH,2024-09-30,10.2214,3279775220.09,20.013,30.3551,13.0253,3891477329.61,32543867177.81
600426.SH,2024-12-31,13.0283,4178200915.78,18.7148,29.6416,12.2077,4968115816.5,32827773284.92
600426.SH,2025-03-31,2.2528,772522045.53,16.3477,30.0709,9.9403,930375592.8,33612702269.33
600426.SH,2025-06-30,4.9817,1731238151.61,18.0107,29.7028,10.9825,2331495955.11,33940270050.5
600426.SH,2025-09-30,7.4511,2619449131.11,18.3827,29.6008,11.1218,3298844906.74,34676712384.17
600436.SH,2022-03-31,6.8805,704648052.86,49.0526,16.2753,30.0087,506073691.76,10778229592.54
600436.SH,2022-06-30,13.1923,1345288380.93,47.6952,21.1116,30.4183,5364583037.99,10685559425.27
600436.SH,2022-09-30,19.9248,2092962096.26,47.6484,15.7893,31.636,6170796213.66,11380081836.38
